"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO²_applicatieprofiel_Notificatie"	"{764559AA-DEE7-4240-858F-C7474A312C48}"	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"notificatie"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Notificatie"	"ContactInfo"	"{0598BD7E-80CE-4fca-A00A-6000CAA053A3}"	""	""	""	""	"Contactpunt"	"Informatie zoals email, telefoon, adres die toelaat om iemand of iets te contacteren."	"Bvb een persoon of organisatie of dienstverlening Mogelijke vormen van contact: bellen, mailen etc."	""	"true"	"http://schema.org/"	"ContactPoint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Notificatie"	"PubliekeOrganisatie"	"{8872598A-118D-42c7-AD9C-D9862087638F}"	""	""	""	""	"Publieke Organisatie"	"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector,ongeacht het bestuursniveau waarop dat kader van kracht is."	"De overheids- en semioverheidsorganisaties die tot men zo tot de publieke sector kan rekenen worden in Europese richtlijn 2003/98/EG ""openbaar lichaam"" genoemd en gedefinieerd als: ""de staat, zijn territoriale lichamen, publiekrechtelijke instellingen, en verenigingen gevormd door een of meer van deze lichamen of een of meer van deze publiekrechtelijke instellingen"". En onder een publiekrechtelijke instelling verstaat men "" iedere instelling die a) is opgericht met het specifieke doel te voorzien in behoeften van algemeen belang die niet van industriële of commerciële aard zijn, en b) rechtspersoonlijkheid heeft, en c) waarvan hetzij de activiteiten in hoofdzaak door de staat of zijn territoriale lichamen of andere publiekrechtelijke instellingen worden gefinancierd, hetzij het beheer is onderworpen aan toezicht door deze laatste, hetzij de leden van het bestuursorgaan, het leidinggevend orgaan of het toezichthoudend orgaan voor meer dan de helft door de staat, zijn territoriale lichamen of andere publiekrechtelijke instellingen zijn aangewezen."".
"	""	"true"	"http://data.europa.eu/m8g/"	"PublicOrganisation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Organization"	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Notificatie"	"SleutelWaarde"	"{499542A9-5850-4c1a-B530-71974094B8E1}"	""	""	""	""	"Sleutel/Waarde Paar"	"Een open data structuur dat uitbreiding toelaat aan de hand van een sleutel en een waarde."	""	""	"true"	"https://schema.org/"	"PropertyValue"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Notificatie"	"Merk"	"{35CF54D8-6EA8-4493-AF37-980BA5FD4FD0}"	""	""	""	""	"Merk"	"De naam gebruikt door een Publieke Organisatie om te communiceren over een bepaalde Publieke Dienstverlening."	""	""	"true"	"http://schema.org/"	"Brand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource"	""	""
"CLASS"	"OSLO²_applicatieprofiel_Notificatie"	"Agent"	"{986D0311-3B6A-47c8-AE47-30F87D5E861F}"	""	""	""	""	"Agent"	"De Agent die het onderwerp vormt van het Profiel."	"Agent is een abstracte klasse die in praktijk niet rechtstreeks wordt gebruikt. In praktijk zal telkens een subklasse van Agent,bijvoorbeeld Persoon,gebruikt worden."	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO²_applicatieprofiel_Notificatie"	"Notificatiebericht"	"{653CDF0D-1149-4e93-BCDA-44089DCC3F40}"	""	""	""	""	"Notificatiebericht"	"Een bericht van een afzender naar een bestemmeling met als doel het informeren van de bestemmeling."	""	""	"false"	"http://data.vlaanderen.be/ns/notificatie#"	"Notificatiebericht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource"	""	""
"CLASS"	"OSLO²_applicatieprofiel_Notificatie"	"InformeerActie"	"{4CEFCEA1-F158-4ca1-8CED-267846D4CB52}"	""	""	""	""	"Informeer Actie"	"Kennisgeving van informatie aan zij die het aanbelangt. Deze informatie kan via meerdere kanalen naar een individu of naar een doelgroep genotificeerd worden."	""	""	"true"	"https://schema.org/"	"InformAction"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/2000/01/rdf-schema#Resource"	""	""
"DATATYPE"	"OSLO²_applicatieprofiel_Notificatie"	"Doelgroep"	"{3AFF4F30-A8A4-4315-9661-2D69AC27539F}"	""	""	""	""	"Doelgroep"	"De beoogde doelgroep van een informeer actie."	""	""	"true"	"https://schema.org/"	"Audience"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"GeografischeNaam"	"{93FB1B96-6B1C-479b-9BEC-6E24C319F364}"	""	""	""	""	"Geografische Naam"	"Benaming toegekend aan of gebruikt voor een geografisch object."	" "	""	"true"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"	"langString"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
